word	matchWholeWord	isYoutube	isUsername	isAlert	isBlackList	isExactFiltering
vaginal	1	0	0	0	1	0
vgina	1	0	0	0	1	0
WTF	1	0	0	0	1	0
@sshol	1	0	1	0	1	1
ßitch	1	0	0	0	1	0
B00bies	1	0	0	0	1	0
D!ck	1	0	0	0	1	0
dum@ss	1	0	0	0	1	0
g@y	1	0	0	0	1	0
g@y@ss	1	0	0	0	1	0
g@yass	1	0	0	0	1	0
gay@ss	1	0	0	0	1	1
jack@ss	1	0	0	0	1	0
h00ker	1	0	0	0	1	0
£3x	1	0	1	0	1	1
phone #	1	0	0	1	1	0
S3x	1	0	0	0	1	0
séx	1	0	0	0	1	0
s£xy	1	0	0	0	1	0
se%	1	0	0	0	1	0
Sh!t	1	0	0	0	1	0
S & M	1	0	0	0	1	0
S&M	1	0	0	0	1	0
3-way	1	0	0	1	1	1
3way	1	0	0	1	1	1
3-w4y	1	0	0	1	1	1
3w4y	1	0	0	0	1	0
gay0	1	0	0	0	1	0
fukin	1	0	0	0	1	0
lapdancer	1	0	0	0	1	0
poledancer	1	0	0	0	1	0
striptease	1	1	0	0	1	0
stripclub	1	1	0	0	1	0
i'msexyandiknowit	1	0	1	0	1	0
imsexyandiknowit	1	0	1	0	1	0
fuukk	1	0	1	0	1	0
biitch	1	0	1	0	1	0
asss	1	0	1	0	1	0
cocck	1	0	1	0	1	0
Flickr	1	0	0	1	1	0
skype	1	0	0	1	1	1
videochat	1	0	0	1	1	0
ivideochat	1	0	0	1	1	0
oovoo	1	0	0	0	1	0
stickam	1	0	0	0	1	0
tokbox	1	0	0	0	1	0
marihuana	1	0	0	0	1	0
muvafucka	1	0	0	0	1	0
bittch	1	0	0	0	1	0
lezzey	1	0	0	0	1	0
fagggot	1	0	0	0	1	0
Facebook	0	0	0	1	0	0
kik	1	0	0	1	1	1
mspprotectionforce	0	0	1	1	0	0
protection force	0	0	1	1	0	0
lapdance	1	1	1	0	1	0
lap dance	1	1	1	0	1	0
sexygirl	1	0	1	0	1	0
der neger	1	1	1	0	1	0
rainbow kiss	1	1	1	0	1	1
Bazuka	1	1	1	1	1	0
viber	1	0	0	1	1	1
