word	matchWholeWord	isYoutube	isUsername	isAlert	isBlackList	isExactFiltering
f1tta	1	1	1	1	1	0
vad är ditt lösenord	1	0	0	0	1	0
vad är ditt lösen	1	0	0	0	1	0
vad heter du irl	1	0	0	1	1	0
kan du ringa mig	1	0	0	1	1	0
Facebook	1	0	0	1	0	0
Skype	1	0	0	1	0	0
Efternamn	1	0	0	1	0	0
Ålder	1	0	0	1	0	1
Hvar bor du	1	0	0	1	0	1
msn	1	0	0	1	0	1
email	1	0	0	1	0	1
e-mail	1	0	0	1	0	1
mejl	1	0	0	1	0	1
mail	1	0	0	1	0	1
telefonnummer	1	0	0	1	0	1
adress	1	0	0	1	0	1
video	1	0	0	1	0	1
irl	1	0	0	1	0	1
sex	1	1	1	1	1	1
klitoris	1	0	0	1	1	1
vagina	1	1	0	1	0	1
oskulld	1	1	0	1	1	1
sexxa	1	0	0	1	1	1
hot	1	0	0	1	0	1
naken	1	0	0	1	0	1
g-string	1	1	0	1	1	1
massage	1	0	0	1	0	1
ligga	1	1	0	1	0	1
mötas	1	0	0	1	0	1
cam	1	0	0	1	0	1
skära	1	1	0	1	1	0
skära sig	1	1	0	1	1	1
railing	1	1	0	1	1	1
bulimia	1	1	0	1	1	1
bullemi	1	1	0	1	1	1
bullimi	1	1	0	1	1	1
aneroxia	1	1	0	1	1	1
våld	1	1	0	1	1	1
pro-ana	1	1	0	1	1	1
pro-mia	1	1	0	1	1	1
thinspo	1	1	0	1	1	1
thinspiration	1	1	0	1	1	1
Självmord	1	1	0	1	1	0
hångla	1	1	1	0	1	0
knu!!a	1	1	0	1	1	0
hatar	1	0	1	1	0	0
döda	1	1	1	1	1	0
mörda	1	1	1	1	1	0
skajp	1	1	0	1	1	0
skajjp	1	1	0	1	1	0
rövsex	1	1	1	0	1	0
storpitt	1	1	1	0	1	0
guysex	1	1	1	0	1	0
chattsex	1	1	1	0	1	0
hotdick	1	0	1	0	1	0
storpung	1	1	1	0	1	0
ta livet	1	0	0	1	0	1
dö	1	1	0	1	1	1
jäwla	1	1	0	1	1	0
djävla	1	1	0	1	1	0
djäwla	1	1	0	1	1	1
code	1	1	0	0	1	1
cod	1	1	0	0	1	1
knuIIa	1	1	0	1	1	0
knu11a	1	1	0	1	1	0
knuIa	1	1	0	1	1	0
knu1a	1	1	0	1	1	0
kik	1	0	0	1	1	1
instagram	1	0	0	1	1	0
skayjp	1	1	0	1	1	0
tampon	1	1	0	1	1	0
skypa	1	1	0	1	1	0
fita	1	1	1	0	1	0
quqen	1	0	1	0	1	1
quken	1	0	1	0	1	1
kuq	1	0	1	0	1	1
kuqen	1	0	1	0	1	1
säx	1	0	1	0	1	0
snipa	1	1	1	0	1	0
onanerar	1	1	1	1	1	0
samlag	1	1	1	1	1	0
barnporr	1	1	1	1	0	0
Trekant	1	1	1	1	1	0
skaype	1	0	0	1	1	0
skayp	1	0	0	1	1	0
Skaip	1	0	0	1	1	0
skeip	1	0	0	1	1	0
fan	1	0	0	0	1	1
faan	1	0	0	0	1	1
suicid	1	1	0	1	1	0
mobbar	1	1	1	1	1	0
insta	1	1	0	1	1	1
misshandel	1	1	1	1	1	0
misshandla	1	1	1	1	1	0
skipe	1	1	0	1	1	1
skape	1	1	0	1	1	1
kåd	1	1	0	1	1	1
Våldtäkt	1	1	1	1	1	0
våldtäkter	1	1	1	1	1	0
våldtäktsman	1	1	1	1	1	0
nigger	1	1	1	0	1	0
strip	1	1	1	1	1	0
face	1	0	1	1	1	0
facen	1	0	1	0	1	0
k!k	1	1	0	1	1	1
hetkille	1	0	1	1	1	0
het	1	0	1	1	1	1
seex	1	1	1	1	1	0
fusk	1	0	1	0	1	0
cheat	1	0	1	0	1	0
fuska	1	0	1	0	1	0
skyjpe	1	1	0	1	1	1
sqyp	1	1	0	1	1	1
sqype	1	1	0	1	1	1
sqipe	1	1	0	1	1	1
sqip	1	1	0	1	1	1
sqajp	1	1	0	1	1	1
sqajpe	1	1	0	1	1	1
sqayp	1	1	0	1	1	1
sqaype	1	1	0	1	1	1
skaijp	1	1	0	1	1	1
skaijpe	1	1	0	1	1	1
stripp	1	1	1	1	1	0
boobs	1	1	1	0	1	0
klk	1	1	0	1	1	1
dödades	1	1	1	0	1	0
mobba	1	0	1	0	1	0
stryp	1	0	1	0	1	0
strypa	1	0	1	0	1	0
Dick	1	1	1	0	1	0
Cock	1	1	1	0	1	0
Faggot	1	1	1	0	1	0
Homse	1	1	1	0	1	0
Whore	1	1	1	0	1	0
Ass	1	1	1	0	1	0
Hoe	1	1	1	0	1	0
fitte	1	1	1	0	1	0
Knu	1	0	1	0	1	0
knulle	1	1	1	0	1	0
hore	1	1	1	0	1	0
kukk	1	1	1	0	1	0
lesbia	1	1	1	0	1	0
mongool	1	1	1	0	1	0
idiot	1	1	1	0	1	0
bewbs	1	1	1	0	1	0
pattar	1	1	1	0	1	0
xxx	1	1	1	0	1	1
piss	1	1	1	0	1	1
meteo	1	0	1	0	1	0
