word	matchWholeWord	isYoutube	isUsername	isAlert	isBlackList	isExactFiltering
@live	0	0	1	1	1	0
porno	0	0	1	1	1	0
sugejobb	1	0	1	1	1	0
f!en	1	0	0	0	1	0
f!tte	1	0	0	0	1	0
fxxxxu	1	0	0	0	1	0
fxxxu	1	0	0	0	1	0
etternavn	1	0	0	1	0	0
alder	1	0	0	1	0	0
email	1	0	0	1	0	0
epost	1	0	0	1	0	0
adresse	1	0	0	1	1	0
video	1	0	0	1	0	0
irl	1	1	0	1	1	0
slikke	1	0	0	1	0	0
jomfru	1	1	0	1	0	0
tisselur	1	1	0	1	1	0
bryst	1	1	0	1	0	0
sexy	1	1	0	1	1	0
hot	1	0	0	1	0	0
g-string	1	1	0	1	1	0
sekse	1	0	1	1	0	0
seks	1	0	1	1	0	0
seksy	1	1	0	1	1	0
tisen	1	0	0	1	1	1
massage	1	1	0	1	0	1
ligge	1	0	0	1	0	1
møtes	1	0	0	1	0	1
møte	1	0	0	1	0	1
cam	1	0	0	1	1	1
kamera	1	1	0	1	0	0
hore	1	0	0	1	0	0
å lage barn	1	1	0	1	0	0
kutting	1	1	0	1	1	1
bulemi	1	1	0	1	1	1
anoreksi	1	1	0	1	1	1
vold	1	1	0	1	0	1
selvmord	1	1	0	1	0	1
mord	1	1	0	1	0	1
sado	1	1	0	1	0	1
kiss x sis	0	1	0	1	0	0
kis x sis	0	1	0	1	0	0
hår på tisen	1	0	0	1	0	0
suge	1	0	0	1	0	0
ta på tisen	1	0	0	1	0	0
hater	1	0	1	1	0	0
drepe	1	0	1	1	1	0
dö	1	0	1	1	0	0
dreper	1	1	0	1	0	0
hate	1	1	0	1	0	0
knivstikking	1	1	0	1	0	0
clitoris	1	1	0	1	1	0
hater livet mitt	1	1	0	1	0	0
vil dø	1	1	0	1	0	0
henge meg	1	1	0	1	0	0
dø	1	1	0	1	0	0
skift pasordet til vip123	1	1	0	1	1	0
skift pasordet til	1	1	0	1	1	0
kik	1	0	0	1	0	0
instagram	1	0	0	1	0	0
tampon	1	1	0	1	0	0
skaype	1	0	0	1	1	0
skayp	1	0	0	1	1	0
skeip	1	0	0	1	1	0
Skaip	1	0	0	1	1	0
dick	1	1	1	0	1	0
Cock	1	1	1	0	1	0
Faggot	1	1	1	0	1	0
Whore	1	1	1	0	1	0
Hoe	1	1	1	0	1	0
Ass	1	1	1	0	1	0
hora	1	1	1	0	1	0
kukk	1	1	1	0	1	0
hurpe	1	1	1	0	1	0
lesbia	1	1	1	0	1	0
mongool	1	1	1	0	1	0
mongol	1	1	1	0	1	0
trækkerdreng	1	1	1	0	1	0
spasse	1	1	1	0	1	0
idiot	1	1	1	0	1	0
